PROPERTY TYPE,YEAR BUILT,CONFIRMED UNITS,CURRENT BUILDING EVAL SCORE,LATITUDE,LONGITUDE
PRIVATE,1960,11,82,43.7031059337,-79.4169030631
PRIVATE,1960,22,82,43.704142239,-79.366275358
PRIVATE,1960,12,82,43.7111056713,-79.4789091508
PRIVATE,1960,11,82,43.7321402537,-79.4838447849
PRIVATE,1960,10,82,43.7416935323,-79.5396641026
PRIVATE,1962,41,82,43.634604022,-79.426092351
TCHC,1962,255,82,43.6460539737,-79.5307204915
PRIVATE,1962,60,82,43.702195489,-79.343701311
PRIVATE,1962,90,82,43.706628986,-79.487496518
PRIVATE,1962,42,82,43.7077057177,-79.4544291704
PRIVATE,1963,45,82,43.73108456,-79.576700252
PRIVATE,1965,76,82,43.743403556,-79.494536418
PRIVATE,1966,174,82,43.669133539,-79.405620062
PRIVATE,1967,246,82,43.6990639559,-79.5119719596
PRIVATE,1968,32,82,43.638981971,-79.431049799
PRIVATE,1968,218,82,43.7587124736,-79.4913415398
TCHC,1969,447,82,43.656559247,-79.46738141
PRIVATE,1969,170,82,43.770708386,-79.45171713
PRIVATE,1970,23,82,43.6154404667,-79.4878892475
PRIVATE,1970,17,82,43.6646897872,-79.5237237327
PRIVATE,1970,170,82,43.6667874217,-79.4051232115
PRIVATE,1970,20,82,43.6893077444,-79.4610170083
TCHC,1972,217,82,43.726954137,-79.252290284
TCHC,1973,16,82,43.790397172,-79.369820172
SOCIAL HOUSING,1975,297,82,43.7960933089,-79.3168137535
PRIVATE,1978,514,82,43.670031447,-79.375487343
SOCIAL HOUSING,1983,141,82,43.770916893,-79.45390216
PRIVATE,1986,86,82,43.688818076,-79.350241642
SOCIAL HOUSING,1988,48,82,43.6883174325,-79.3025563055
SOCIAL HOUSING,1989,174,82,43.678997338,-79.321136292
SOCIAL HOUSING,1995,17,82,43.663039249,-79.32501186
PRIVATE,1900,20,83,43.6380072384,-79.4380349647
PRIVATE,1927,35,83,43.663016124,-79.375476419
PRIVATE,1933,24,83,43.6845459232,-79.4192018121
PRIVATE,1935,18,83,43.642859163,-79.431385378
PRIVATE,1938,32,83,43.686006092,-79.417750526
PRIVATE,1943,32,83,43.6856480126,-79.4188899965
PRIVATE,1945,24,83,43.714859025,-79.36014009
PRIVATE,1950,32,83,43.6846976154,-79.4212142152
PRIVATE,1950,29,83,43.6929246755,-79.4786023031
PRIVATE,1950,16,83,43.7186903951,-79.5590804197
PRIVATE,1950,46,83,43.737742938,-79.343010941
PRIVATE,1951,37,83,43.692977471,-79.48134741
PRIVATE,1951,36,83,43.693064312,-79.482178967
PRIVATE,1951,12,83,43.7089625626,-79.3097891975
PRIVATE,1951,11,83,43.7425559066,-79.436710293
PRIVATE,1953,37,83,43.703054654,-79.310513888
PRIVATE,1953,62,83,43.7074440123,-79.4262923027
PRIVATE,1954,73,83,43.689065755,-79.419580207
PRIVATE,1954,18,83,43.7091752019,-79.3105723901
PRIVATE,1954,26,83,43.732195062,-79.3052538634
PRIVATE,1955,12,83,43.715915672,-79.480081979
PRIVATE,1957,12,83,43.6000004031,-79.5135618333
PRIVATE,1959,64,83,43.7010927419,-79.4506862658
PRIVATE,1960,45,83,43.637025183,-79.54003296
PRIVATE,1960,130,83,43.6722506898,-79.4935197463
PRIVATE,1960,28,83,43.6895758413,-79.4611447354
PRIVATE,1960,61,83,43.7266882298,-79.3178088353
PRIVATE,1960,12,83,43.732014889,-79.434846428
