Website Name,Sessions,Views,Avg View Time (Sec),Bounce Rate %
Volunteer With The City||www.toronto.ca/community-people/get-involved/volunteer-with-the-city/,81190,111093,77.68434460398332,0.31891858603276263
Centre List - A||www.toronto.ca/data/children/dmc/a2z/a2za.html,80939,114673,37.76485751968347,0.09316892968778957
Parks & Recreation Facility Listings||www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/,80764,99438,37.60462658925386,0.04093407954038928
Health & Wellness||www.toronto.ca/community-people/health-wellness-care/,79582,95664,79.19780662974856,0.2563770701917519
Pet Licensing||www.toronto.ca/community-people/animals-pets/pet-licensing/,79350,96352,152.974379608489,0.35097668557025835
Maps||www.toronto.ca/city-government/data-research-maps/maps/,78588,88279,220.7357601869432,0.5976103221865934
"Excess Garbage, Recycling & Organics||www.toronto.ca/services-payments/recycling-organics-garbage/houses/excess-garbage-recycling-organics/",78552,86267,105.58170318656252,0.6061335166513901
Noise||www.toronto.ca/city-government/public-notices-bylaws/bylaw-enforcement/noise/,78282,89218,207.06882547825157,0.6395850898035308
Parks & Recreation Facilities Booking||www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/,77273,98023,36.70003611075518,0.050133940703738694
Cframe||www.toronto.ca/data/parks/prd/swimming/dropin/lane/index.html,76185,89143,165.28746673589927,0.5583251296186913
Yard Waste||www.toronto.ca/services-payments/recycling-organics-garbage/houses/yard-waste/,74538,89416,75.07180750284199,0.4552577208940406
"Parks, Gardens & Beaches||www.toronto.ca/explore-enjoy/parks-gardens-beaches/",73361,87289,57.09588695007748,0.2535679720832595
Child Care Fee Subsidy||www.toronto.ca/community-people/employment-social-support/child-family-support/child-care-support/,72529,90287,59.449339024491316,0.1416398957658316
Automated Speed Enforcement||www.toronto.ca/services-payments/streets-parking-transportation/road-safety/vision-zero/safety-initiatives/automated-speed-enforcement/,72485,81423,190.18075674325675,0.50814651307167
Marriage Services||www.toronto.ca/services-payments/venues-facilities-bookings/getting-married/,72150,89643,41.247344721606744,0.18253638253638255
Building & Construction||www.toronto.ca/services-payments/building-construction/,71983,92019,37.28891486220473,0.058333217565258465
Cframe||www.toronto.ca/data/parks/prd/facilities/complex/3775/index.html,71577,89446,220.3519785608393,0.5116587730695614
Apply For The Fair Pass Transit Discount Program||www.toronto.ca/community-people/employment-social-support/support-for-people-in-financial-need/assistance-through-ontario-works/transit-discount/apply-for-the-fair-pass-transit-discount-program/,71082,94892,305.35763680914783,0.31903998199262823
Financial & Employment Support||www.toronto.ca/community-people/employment-social-support/,70752,94023,59.82136563260511,0.178270578923564
Beaches||www.toronto.ca/explore-enjoy/parks-gardens-beaches/beaches/,70621,79291,81.4734749273775,0.39812520355135156
Plowto Map||www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/winter-maintenance/plowto/,70520,88656,373.79546722754003,0.6952070334656835
Exhibits & Events||www.toronto.ca/explore-enjoy/history-art-culture/exhibits-events/,70433,86911,186.2459327548807,0.5428137378785513
Short-term Rentals||www.toronto.ca/community-people/housing-shelter/short-term-rentals/,70028,80588,88.6136533116399,0.4213029074084652
Expressway & Lake Shore Boulevard Closures||www.toronto.ca/services-payments/streets-parking-transportation/road-restrictions-closures/expressway-and-lake-shore-boulevard-closures/,70014,78175,172.77284463403683,0.5404776187619619
Electronic Waste||www.toronto.ca/services-payments/recycling-organics-garbage/electronic-waste/,69970,84952,91.7399768537654,0.33452908389309705
Court Case Look Up - Picklist||secure.toronto.ca/courtcaselookup/picklistrlc.jsf,68879,357521,73.2838685991572,0.002772978701781385
Short-term Rental Operators/hosts||www.toronto.ca/community-people/housing-shelter/short-term-rentals/short-term-rental-operators-hosts/,68262,84955,170.87799804837965,0.36437549441856376
Cframe||www.toronto.ca/data/parks/prd/facilities/complex/537/index.html,67881,81871,185.310435391619,0.5032041366509038
Scheduling Information||www.toronto.ca/home/jobs/information-for-applicants/recruitment-initiatives/recreation-jobs/returning-recreation-worker-scheduling/scheduling-information/,65371,86289,296.67403253567267,0.5271909562344159
Covid-19||www.toronto.ca/community-people/health-wellness-care/health-programs-advice/respiratory-viruses/covid-19/,64419,75324,79.15346649186397,0.4364240363867803
Downhill Skiing & Snowboarding Centre||www.toronto.ca/explore-enjoy/recreation/skating-winter-sports/downhill-skiing-snowboarding-centres/,63966,78870,119.10286175602695,0.3887065003282994
About Parking Violations||www.toronto.ca/services-payments/tickets-fines-penalties/pay/pay-your-parking-violation/about-parking-violations/,63715,74585,88.29943961352657,0.15231892019147766
Cframe||www.toronto.ca/data/parks/prd/skating/dropin/leisure/index.html,63350,73833,172.8536550077766,0.4939068666140489
Lost & Found Pets||www.toronto.ca/community-people/animals-pets/lost-found-pets/,62621,79965,82.52705137876121,0.23043388000830392
Earlyon Child And Family Centres||www.toronto.ca/community-people/children-parenting/children-programs-activities/child-family-programs-and-groups/child-family-programs/,62258,74388,240.6489088042486,0.6207716277426194
Welcome Policy - Recreation Fee Subsidy||www.toronto.ca/community-people/employment-social-support/child-family-support/welcome-policy-recreation-fee-subsidy/,62186,87601,130.64884058244016,0.32005596114881163
Winterlicious Alphabetical List Of Restaurants||www.toronto.ca/explore-enjoy/festivals-events/winterlicious/restaurants-menus/winterlicious-alphabetical-list-of-restaurants/,62066,77095,139.62074091931854,0.10097315760641898
Planning & Development||www.toronto.ca/city-government/planning-development/,61518,77721,41.92537335834897,0.09420007152378165
Ebilling||www.toronto.ca/services-payments/property-taxes-utilities/property-tax/ebilling/,61361,80354,106.03117254199945,0.11210703867277261
Cframe||www.toronto.ca/data/parks/prd/facilities/complex/507/index.html,61215,73527,176.68873347384556,0.4892591685044515
Oversized & Metal Items||www.toronto.ca/services-payments/recycling-organics-garbage/houses/oversized-metal-items/,60422,71983,128.5469059863534,0.4615371884412962
Child Care Fee Subsidy Calculator||www.toronto.ca/community-people/employment-social-support/child-family-support/child-care-support/child-care-fee-subsidy-calculator/,60299,69549,246.26320422535213,0.3336373737541253
Festivals & Events||www.toronto.ca/explore-enjoy/festivals-events/,60261,71557,31.714970223834623,0.08411742254526144
Parking Regulations||www.toronto.ca/services-payments/streets-parking-transportation/applying-for-a-parking-permit/parking-by-laws-regulations/parking-regulations/,60043,73735,128.86873551455318,0.456889229385607
"Children, Youth, Parents & Seniors||www.toronto.ca/community-people/children-parenting/",59980,75926,42.781008749356666,0.056585528509503165
Events Happening At Nathan Phillips Square||www.toronto.ca/services-payments/venues-facilities-bookings/booking-city-facilities/city-squares/nathan-phillips-square/events-happening-on-nathan-phillips-square/,59504,65929,157.29851764559945,0.6201599892444205
Food Handler Certification||www.toronto.ca/community-people/health-wellness-care/health-programs-advice/food-safety/food-handler-certification/,59142,81632,118.50328316943667,0.5777281796354536
Cframe||www.toronto.ca/data/parks/prd/facilities/complex/523/index.html,59078,72175,164.2356524053103,0.4325806560817902
Court Hearings||www.toronto.ca/services-payments/tickets-fines-penalties/court-hearings/,58977,68291,300.7428946739909,0.6714651474303542
Property Tax Calculator||www.toronto.ca/services-payments/property-taxes-utilities/property-tax/property-tax-calculator/property-tax-calculator/,58906,64106,195.93664473301112,0.18914881336366415
Cframe||www.toronto.ca/data/parks/prd/facilities/complex/451/index.html,57911,68447,207.02906214133463,0.5735525202465853
Cframe||www.toronto.ca/data/parks/prd/swimming/reg/learn/index.html,57110,76703,188.74751596025536,0.2861670460514796
Toronto Rent Bank||www.toronto.ca/community-people/employment-social-support/housing-support/financial-support-for-renters/toronto-rent-bank/,56853,67685,266.8055450416351,0.6331240215995638
Find Your Neighbourhood||www.toronto.ca/city-government/data-research-maps/neighbourhoods-communities/neighbourhood-profiles/find-your-neighbourhood/,56631,67726,143.847511074405,0.2213098832794759
Property Tax Rates & Fees||www.toronto.ca/services-payments/property-taxes-utilities/property-tax/property-tax-rates-and-fees/,56473,64922,142.74437528551852,0.31122837462150055
I Want To...||www.toronto.ca/home/i-want-to/,56039,66401,66.26577528417371,0.02469708595799354
Neighbourhoods & Communities||www.toronto.ca/city-government/data-research-maps/neighbourhoods-communities/,55315,66893,54.3823997751967,0.3345927867666998
Understand & Fight Evictions||www.toronto.ca/community-people/housing-shelter/rental-housing-tenant-information/understand-fight-evictions/,55197,62797,274.3286211979097,0.7339348152979328
Current City Of Toronto Average Market Rents & Utility Allowances||www.toronto.ca/community-people/community-partners/social-housing-providers/affordable-housing-operators/current-city-of-toronto-average-market-rents-and-utility-allowances/,54976,60188,299.10174055197615,0.7759385913853318
