YEAR BUILT,PROPERTY TYPE,LATITUDE,LONGITUDE,COSMETIC,HIGH,MODERATE,OVERALL
1959,PRIVATE,43.615728063,-79.487878872,2.8,2.3,2.2,77
1959,PRIVATE,43.749611485,-79.54723458,2.1,2.6,2,77
1960,PRIVATE,43.720697837,-79.455271499,2.6,2.5,2.2,77
1960,PRIVATE,43.707964508,-79.50552763,2.3,2.4,2.1,77
1960,PRIVATE,43.636122132,-79.439605046,1.6,2.4,2.2,77
1961,PRIVATE,43.740395354,-79.270793343,2.3,2.4,2,77
1964,PRIVATE,43.7414399001,-79.231653804,2.7,2.6,2.1,77
1965,PRIVATE,43.70045036,-79.344507259,2.7,2.3,2.3,77
1967,PRIVATE,43.671558224,-79.401099408,2.6,2.4,2.1,77
1967,PRIVATE,43.6709382453,-79.3739456506,2.4,2.4,2.3,77
1968,PRIVATE,43.688636624,-79.50342902,2.5,2.4,2.2,77
1968,PRIVATE,43.74754495,-79.282543921,1.8,2.8,1.8,77
1970,PRIVATE,43.662511227,-79.417002758,2.2,2.5,1.9,77
1971,PRIVATE,43.7001107344,-79.2530513006,2.2,2.1,2.4,77
1971,PRIVATE,43.673706805,-79.287609307,2.2,2.5,2.1,77
1971,TCHC,43.779266937,-79.323413406,1.5,2.7,1.9,77
1972,TCHC,43.76016812,-79.507896791,2.2,2.5,2.2,77
1972,PRIVATE,43.7193055449,-79.5575311181,1.5,2.5,2.1,77
1972,PRIVATE,43.756531897,-79.489784237,2.5,2.4,2.3,77
1972,SOCIAL HOUSING,43.675546866,-79.398129089,2.5,2.3,2.1,77
1972,PRIVATE,43.7242716939,-79.5134047928,2.7,2.3,2.2,77
1973,TCHC,43.790703691,-79.368721553,2.7,2.4,2.2,77
1974,PRIVATE,43.6592968038,-79.3718238702,2.2,2.5,2.1,77
1979,PRIVATE,43.7803171542,-79.2969946831,1.4,2.8,2,77
1991,TCHC,43.66580094,-79.378445613,2.1,2.3,2.4,77
2024,PRIVATE,43.669233242,-79.445930587,2.7,2.4,1.9,77
1900,PRIVATE,43.636462829,-79.438878709,1.7,2.4,2.2,78
1900,PRIVATE,43.710106124,-79.40052975,2.7,2.5,2.1,78
1920,PRIVATE,43.672858863,-79.411257309,2,2.7,1.9,78
1927,PRIVATE,43.664758213,-79.381484242,2.8,2.3,2.1,78
1944,PRIVATE,43.71515813,-79.359256459,2.8,2.3,2.3,78
1950,PRIVATE,43.592527409,-79.528501876,2.5,2.3,2.4,78
1950,PRIVATE,43.705638213,-79.402399606,2.8,2.2,2.3,78
1950,PRIVATE,43.745853542,-79.436509554,2.6,2.4,2.4,78
1952,PRIVATE,43.68757738,-79.348481091,1.9,2.7,2,78
1954,PRIVATE,43.71394552,-79.364462065,1.8,2.3,2.5,78
1954,PRIVATE,43.617707352,-79.486488934,2,2.7,2,78
1955,PRIVATE,43.6964637317,-79.4032380661,2.4,2.5,2.3,78
1955,PRIVATE,43.688402926,-79.401606294,2.4,2.4,2.1,78
1955,PRIVATE,43.732327731,-79.483879887,1.8,2.6,2.2,78
1955,PRIVATE,43.741825656,-79.437193899,2.9,2.3,2.7,78
1956,PRIVATE,43.719032062,-79.4807128716,1.9,2.6,2.3,78
1956,SOCIAL HOUSING,43.732579372,-79.43469867,1.8,2.5,2.1,78
1957,PRIVATE,43.706451929,-79.478254085,2.4,2.5,2.3,78
1957,PRIVATE,43.669553321,-79.40462991,1.8,2.6,1.9,78
1957,TCHC,43.719157062,-79.442145009,2.4,2.6,2.1,78
1958,PRIVATE,43.687956879,-79.491393198,1.8,2.5,2.3,78
1958,PRIVATE,43.59893579,-79.522350466,2.6,2.1,2.6,78
